site_num,poc,date_local,pm25_daily_mean,site_name
0002,1,2024-01-01,17.3,Camden Spruce Street
0002,1,2024-01-04,9.4,Camden Spruce Street
0002,1,2024-01-07,4.5,Camden Spruce Street
0002,1,2024-01-10,17.1,Camden Spruce Street
0002,1,2024-01-13,6.7,Camden Spruce Street
0002,1,2024-01-14,5.1,Camden Spruce Street
0002,1,2024-01-19,15.2,Camden Spruce Street
0002,1,2024-01-22,11.7,Camden Spruce Street
0002,1,2024-01-31,5.6,Camden Spruce Street
0002,1,2024-02-03,2.8,Camden Spruce Street
0002,1,2024-02-06,3.7,Camden Spruce Street
0002,1,2024-02-09,12.6,Camden Spruce Street
0002,1,2024-02-12,8.8,Camden Spruce Street
0002,1,2024-02-15,6.5,Camden Spruce Street
0002,1,2024-02-18,12.4,Camden Spruce Street
0002,1,2024-02-21,4.4,Camden Spruce Street
0002,1,2024-02-24,5.8,Camden Spruce Street
0002,1,2024-02-27,12.5,Camden Spruce Street
0002,1,2024-03-01,5.5,Camden Spruce Street
0002,1,2024-03-04,5.5,Camden Spruce Street
0002,1,2024-03-07,2.1,Camden Spruce Street
0002,1,2024-03-10,2.2,Camden Spruce Street
0002,1,2024-03-13,16.4,Camden Spruce Street
0002,1,2024-03-16,5.2,Camden Spruce Street
0002,1,2024-03-19,5.3,Camden Spruce Street
0002,1,2024-03-22,4.6,Camden Spruce Street
0002,1,2024-03-25,4.5,Camden Spruce Street
0002,1,2024-03-28,5.8,Camden Spruce Street
0002,1,2024-03-31,6.3,Camden Spruce Street
0002,1,2024-04-03,1.8,Camden Spruce Street
0002,1,2024-04-06,1.7,Camden Spruce Street
0002,1,2024-04-09,10.4,Camden Spruce Street
0002,1,2024-04-12,8.6,Camden Spruce Street
0002,1,2024-04-15,11,Camden Spruce Street
0002,1,2024-04-18,5,Camden Spruce Street
0002,1,2024-04-21,3.7,Camden Spruce Street
0002,1,2024-04-24,8.6,Camden Spruce Street
0002,1,2024-04-27,4.9,Camden Spruce Street
0002,1,2024-04-30,14.2,Camden Spruce Street
0002,1,2024-05-03,4.4,Camden Spruce Street
0002,1,2024-05-06,9,Camden Spruce Street
0002,1,2024-05-09,5.1,Camden Spruce Street
0002,1,2024-05-15,4.3,Camden Spruce Street
0002,1,2024-05-18,12.7,Camden Spruce Street
0002,1,2024-05-21,8.8,Camden Spruce Street
0002,1,2024-05-24,9.8,Camden Spruce Street
0002,1,2024-05-27,7.7,Camden Spruce Street
0002,1,2024-05-30,4.8,Camden Spruce Street
0002,1,2024-06-02,12.9,Camden Spruce Street
0002,1,2024-06-05,10,Camden Spruce Street
0002,1,2024-06-08,5.6,Camden Spruce Street
0002,1,2024-06-11,4.7,Camden Spruce Street
0002,1,2024-06-14,11.2,Camden Spruce Street
0002,2,2024-01-01,17.1,Camden Spruce Street
0002,2,2024-01-31,4.7,Camden Spruce Street
0002,2,2024-02-06,3.7,Camden Spruce Street
0002,2,2024-02-12,8.4,Camden Spruce Street
0002,2,2024-02-18,12.3,Camden Spruce Street
0002,2,2024-02-24,5.7,Camden Spruce Street
0002,2,2024-03-01,5.6,Camden Spruce Street
0002,2,2024-03-07,2.1,Camden Spruce Street
0002,2,2024-03-13,16.6,Camden Spruce Street
0002,2,2024-03-19,5,Camden Spruce Street
0002,2,2024-03-25,4.3,Camden Spruce Street
0002,2,2024-03-31,6.5,Camden Spruce Street
0002,2,2024-04-06,1.7,Camden Spruce Street
0002,2,2024-04-12,8.2,Camden Spruce Street
0002,2,2024-04-18,4.7,Camden Spruce Street
0002,2,2024-04-24,9.4,Camden Spruce Street
0002,2,2024-04-30,14.1,Camden Spruce Street
0002,2,2024-05-06,9.3,Camden Spruce Street
0002,2,2024-05-12,4.2,Camden Spruce Street
0002,2,2024-05-18,13.4,Camden Spruce Street
0002,2,2024-05-24,10.1,Camden Spruce Street
0002,2,2024-05-30,6.7,Camden Spruce Street
0002,2,2024-06-05,10.3,Camden Spruce Street
0002,2,2024-06-11,5,Camden Spruce Street
0002,2,2024-06-17,9,Camden Spruce Street
0002,3,2024-01-01,17.3,Camden Spruce Street
0002,3,2024-01-01,17.35,Camden Spruce Street
0002,3,2024-01-02,5.3,Camden Spruce Street
0002,3,2024-01-02,5.352174,Camden Spruce Street
0002,3,2024-01-03,19.3,Camden Spruce Street
0002,3,2024-01-03,19.3875,Camden Spruce Street
0002,3,2024-01-04,9.1,Camden Spruce Street
0002,3,2024-01-04,9.126087,Camden Spruce Street
0002,3,2024-01-05,10.6,Camden Spruce Street
0002,3,2024-01-05,10.608333,Camden Spruce Street
0002,3,2024-01-06,11.8,Camden Spruce Street
0002,3,2024-01-06,11.825,Camden Spruce Street
0002,3,2024-01-07,5.2,Camden Spruce Street
0002,3,2024-01-07,5.254167,Camden Spruce Street
0002,3,2024-01-08,6.7,Camden Spruce Street
0002,3,2024-01-08,6.741667,Camden Spruce Street
0002,3,2024-01-09,9.8,Camden Spruce Street
0002,3,2024-01-09,9.854167,Camden Spruce Street
0002,3,2024-01-10,15.3,Camden Spruce Street
0002,3,2024-01-10,15.395652,Camden Spruce Street
0002,3,2024-01-11,7.4,Camden Spruce Street
0002,3,2024-01-11,7.470833,Camden Spruce Street
0002,3,2024-01-12,9.6,Camden Spruce Street
0002,3,2024-01-12,9.695833,Camden Spruce Street
0002,3,2024-01-13,6.7,Camden Spruce Street
0002,3,2024-01-13,6.770833,Camden Spruce Street
0002,3,2024-01-14,6.1,Camden Spruce Street
0002,3,2024-01-14,6.1,Camden Spruce Street
0002,3,2024-01-15,6.8,Camden Spruce Street
0002,3,2024-01-15,6.845833,Camden Spruce Street
0002,3,2024-01-16,9.1,Camden Spruce Street
0002,3,2024-01-16,9.1875,Camden Spruce Street
0002,3,2024-01-17,12.3,Camden Spruce Street
0002,3,2024-01-17,12.383333,Camden Spruce Street
0002,3,2024-01-18,14.2,Camden Spruce Street
0002,3,2024-01-18,14.270833,Camden Spruce Street
0002,3,2024-01-19,13.9,Camden Spruce Street
0002,3,2024-01-19,13.958333,Camden Spruce Street
0002,3,2024-01-20,3.6,Camden Spruce Street
0002,3,2024-01-20,3.629167,Camden Spruce Street
0002,3,2024-01-21,3.8,Camden Spruce Street
0002,3,2024-01-21,3.825,Camden Spruce Street
0002,3,2024-01-22,11.2,Camden Spruce Street
0002,3,2024-01-22,11.291667,Camden Spruce Street
0002,3,2024-01-23,18.6,Camden Spruce Street
0002,3,2024-01-23,18.6375,Camden Spruce Street
0002,3,2024-01-24,14.6,Camden Spruce Street
0002,3,2024-01-24,14.65,Camden Spruce Street
0002,3,2024-01-25,15.2,Camden Spruce Street
