timestamp,sensor_id,sensor_name,miles_from_emr,in_primary,pm25_raw_atm
2022-10-15T10:40:00-04:00,104742,"Center For Environmental Transformation",0.527,True,9.8
2022-10-15T10:50:00-04:00,104742,"Center For Environmental Transformation",0.527,True,8.9
2022-10-15T11:00:00-04:00,104742,"Center For Environmental Transformation",0.527,True,8.1
2022-10-15T11:10:00-04:00,104742,"Center For Environmental Transformation",0.527,True,7.6
2022-10-15T11:20:00-04:00,104742,"Center For Environmental Transformation",0.527,True,8.1
2022-10-15T11:30:00-04:00,104742,"Center For Environmental Transformation",0.527,True,7.7
2022-10-15T11:40:00-04:00,104742,"Center For Environmental Transformation",0.527,True,7.9
2022-10-15T11:50:00-04:00,104742,"Center For Environmental Transformation",0.527,True,8.4
2022-10-15T12:00:00-04:00,104742,"Center For Environmental Transformation",0.527,True,8.1
2022-10-15T12:10:00-04:00,104742,"Center For Environmental Transformation",0.527,True,8.5
2022-10-15T12:20:00-04:00,104742,"Center For Environmental Transformation",0.527,True,8.1
2022-10-15T12:30:00-04:00,104742,"Center For Environmental Transformation",0.527,True,7.8
2022-10-15T12:40:00-04:00,104742,"Center For Environmental Transformation",0.527,True,7.1
2022-10-15T12:50:00-04:00,104742,"Center For Environmental Transformation",0.527,True,6.7
2022-10-15T13:00:00-04:00,104742,"Center For Environmental Transformation",0.527,True,6.6
2022-10-15T13:10:00-04:00,104742,"Center For Environmental Transformation",0.527,True,6.7
2022-10-15T13:20:00-04:00,104742,"Center For Environmental Transformation",0.527,True,6.9
2022-10-15T13:30:00-04:00,104742,"Center For Environmental Transformation",0.527,True,6.2
2022-10-15T13:40:00-04:00,104742,"Center For Environmental Transformation",0.527,True,6.1
2022-10-15T13:50:00-04:00,104742,"Center For Environmental Transformation",0.527,True,6.0
2022-10-15T14:00:00-04:00,104742,"Center For Environmental Transformation",0.527,True,5.9
2022-10-15T14:10:00-04:00,104742,"Center For Environmental Transformation",0.527,True,6.2
2022-10-15T14:20:00-04:00,104742,"Center For Environmental Transformation",0.527,True,6.4
2022-10-15T14:30:00-04:00,104742,"Center For Environmental Transformation",0.527,True,6.7
2022-10-15T14:40:00-04:00,104742,"Center For Environmental Transformation",0.527,True,6.7
2022-10-15T14:50:00-04:00,104742,"Center For Environmental Transformation",0.527,True,6.8
2022-10-15T15:00:00-04:00,104742,"Center For Environmental Transformation",0.527,True,6.8
2022-10-15T15:10:00-04:00,104742,"Center For Environmental Transformation",0.527,True,7.1
2022-10-15T15:20:00-04:00,104742,"Center For Environmental Transformation",0.527,True,7.3
2022-10-15T15:30:00-04:00,104742,"Center For Environmental Transformation",0.527,True,7.2
2022-10-15T15:40:00-04:00,104742,"Center For Environmental Transformation",0.527,True,7.2
2022-10-15T15:50:00-04:00,104742,"Center For Environmental Transformation",0.527,True,7.0
2022-10-15T16:00:00-04:00,104742,"Center For Environmental Transformation",0.527,True,6.6
2022-10-15T16:10:00-04:00,104742,"Center For Environmental Transformation",0.527,True,7.0
2022-10-15T16:20:00-04:00,104742,"Center For Environmental Transformation",0.527,True,6.7
2022-10-15T16:30:00-04:00,104742,"Center For Environmental Transformation",0.527,True,6.8
2022-10-15T16:40:00-04:00,104742,"Center For Environmental Transformation",0.527,True,7.0
2022-10-15T16:50:00-04:00,104742,"Center For Environmental Transformation",0.527,True,7.0
2022-10-15T17:00:00-04:00,104742,"Center For Environmental Transformation",0.527,True,6.9
2022-10-15T17:10:00-04:00,104742,"Center For Environmental Transformation",0.527,True,7.4
2022-10-15T17:20:00-04:00,104742,"Center For Environmental Transformation",0.527,True,7.0
2022-10-15T17:30:00-04:00,104742,"Center For Environmental Transformation",0.527,True,7.3
2022-10-15T17:40:00-04:00,104742,"Center For Environmental Transformation",0.527,True,7.3
2022-10-15T17:50:00-04:00,104742,"Center For Environmental Transformation",0.527,True,7.8
2022-10-15T18:00:00-04:00,104742,"Center For Environmental Transformation",0.527,True,7.9
2022-10-15T18:10:00-04:00,104742,"Center For Environmental Transformation",0.527,True,8.2
2022-10-15T18:20:00-04:00,104742,"Center For Environmental Transformation",0.527,True,8.1
2022-10-15T18:30:00-04:00,104742,"Center For Environmental Transformation",0.527,True,17.8
2022-10-15T18:40:00-04:00,104742,"Center For Environmental Transformation",0.527,True,13.0
2022-10-15T18:50:00-04:00,104742,"Center For Environmental Transformation",0.527,True,14.4
2022-10-15T19:00:00-04:00,104742,"Center For Environmental Transformation",0.527,True,11.1
2022-10-15T19:10:00-04:00,104742,"Center For Environmental Transformation",0.527,True,10.8
2022-10-15T19:20:00-04:00,104742,"Center For Environmental Transformation",0.527,True,10.3
2022-10-15T19:30:00-04:00,104742,"Center For Environmental Transformation",0.527,True,11.6
2022-10-15T19:40:00-04:00,104742,"Center For Environmental Transformation",0.527,True,12.0
2022-10-15T19:50:00-04:00,104742,"Center For Environmental Transformation",0.527,True,11.6
2022-10-15T20:00:00-04:00,104742,"Center For Environmental Transformation",0.527,True,11.5
2022-10-15T20:10:00-04:00,104742,"Center For Environmental Transformation",0.527,True,11.1
2022-10-15T20:20:00-04:00,104742,"Center For Environmental Transformation",0.527,True,12.1
2022-10-15T20:30:00-04:00,104742,"Center For Environmental Transformation",0.527,True,12.4
2022-10-15T20:40:00-04:00,104742,"Center For Environmental Transformation",0.527,True,12.9
2022-10-15T20:50:00-04:00,104742,"Center For Environmental Transformation",0.527,True,13.2
2022-10-15T21:00:00-04:00,104742,"Center For Environmental Transformation",0.527,True,12.4
2022-10-15T21:10:00-04:00,104742,"Center For Environmental Transformation",0.527,True,13.3
2022-10-15T21:20:00-04:00,104742,"Center For Environmental Transformation",0.527,True,12.5
2022-10-15T21:30:00-04:00,104742,"Center For Environmental Transformation",0.527,True,13.1
2022-10-15T21:40:00-04:00,104742,"Center For Environmental Transformation",0.527,True,13.2
2022-10-15T21:50:00-04:00,104742,"Center For Environmental Transformation",0.527,True,13.1
2022-10-15T22:00:00-04:00,104742,"Center For Environmental Transformation",0.527,True,13.2
2022-10-15T22:10:00-04:00,104742,"Center For Environmental Transformation",0.527,True,14.4
2022-10-15T22:20:00-04:00,104742,"Center For Environmental Transformation",0.527,True,15.5
2022-10-15T22:30:00-04:00,104742,"Center For Environmental Transformation",0.527,True,15.4
2022-10-15T22:40:00-04:00,104742,"Center For Environmental Transformation",0.527,True,15.6
2022-10-15T22:50:00-04:00,104742,"Center For Environmental Transformation",0.527,True,15.7
2022-10-15T23:00:00-04:00,104742,"Center For Environmental Transformation",0.527,True,16.4
2022-10-15T23:10:00-04:00,104742,"Center For Environmental Transformation",0.527,True,17.3
2022-10-15T23:20:00-04:00,104742,"Center For Environmental Transformation",0.527,True,17.5
2022-10-15T23:30:00-04:00,104742,"Center For Environmental Transformation",0.527,True,18.0
2022-10-15T23:40:00-04:00,104742,"Center For Environmental Transformation",0.527,True,16.6
2022-10-15T23:50:00-04:00,104742,"Center For Environmental Transformation",0.527,True,15.9
2022-10-16T00:00:00-04:00,104742,"Center For Environmental Transformation",0.527,True,15.7
2022-10-16T00:10:00-04:00,104742,"Center For Environmental Transformation",0.527,True,16.3
2022-10-16T00:20:00-04:00,104742,"Center For Environmental Transformation",0.527,True,14.9
2022-10-16T00:30:00-04:00,104742,"Center For Environmental Transformation",0.527,True,14.6
2022-10-16T00:40:00-04:00,104742,"Center For Environmental Transformation",0.527,True,15.7
2022-10-16T00:50:00-04:00,104742,"Center For Environmental Transformation",0.527,True,15.5
2022-10-16T01:00:00-04:00,104742,"Center For Environmental Transformation",0.527,True,15.7
2022-10-16T01:10:00-04:00,104742,"Center For Environmental Transformation",0.527,True,16.0
2022-10-16T01:20:00-04:00,104742,"Center For Environmental Transformation",0.527,True,18.0
2022-10-16T01:30:00-04:00,104742,"Center For Environmental Transformation",0.527,True,19.9
2022-10-16T01:40:00-04:00,104742,"Center For Environmental Transformation",0.527,True,19.4
2022-10-16T01:50:00-04:00,104742,"Center For Environmental Transformation",0.527,True,20.8
2022-10-16T02:00:00-04:00,104742,"Center For Environmental Transformation",0.527,True,21.5
2022-10-16T02:10:00-04:00,104742,"Center For Environmental Transformation",0.527,True,21.9
2022-10-16T02:20:00-04:00,104742,"Center For Environmental Transformation",0.527,True,21.5
2022-10-16T02:30:00-04:00,104742,"Center For Environmental Transformation",0.527,True,22.3
2022-10-16T02:40:00-04:00,104742,"Center For Environmental Transformation",0.527,True,22.5
2022-10-16T02:50:00-04:00,104742,"Center For Environmental Transformation",0.527,True,23.3
2022-10-16T03:00:00-04:00,104742,"Center For Environmental Transformation",0.527,True,24.3
2022-10-16T03:10:00-04:00,104742,"Center For Environmental Transformation",0.527,True,24.2
2022-10-16T03:20:00-04:00,104742,"Center For Environmental Transformation",0.527,True,25.7
2022-10-16T03:30:00-04:00,104742,"Center For Environmental Transformation",0.527,True,29.7
2022-10-16T03:40:00-04:00,104742,"Center For Environmental Transformation",0.527,True,31.6
2022-10-16T03:50:00-04:00,104742,"Center For Environmental Transformation",0.527,True,32.0
2022-10-16T04:00:00-04:00,104742,"Center For Environmental Transformation",0.527,True,35.0
2022-10-16T04:10:00-04:00,104742,"Center For Environmental Transformation",0.527,True,33.7
2022-10-16T04:20:00-04:00,104742,"Center For Environmental Transformation",0.527,True,32.8
2022-10-16T04:30:00-04:00,104742,"Center For Environmental Transformation",0.527,True,32.0
2022-10-16T04:40:00-04:00,104742,"Center For Environmental Transformation",0.527,True,33.0
2022-10-16T04:50:00-04:00,104742,"Center For Environmental Transformation",0.527,True,33.0
2022-10-16T05:00:00-04:00,104742,"Center For Environmental Transformation",0.527,True,32.8
2022-10-16T05:10:00-04:00,104742,"Center For Environmental Transformation",0.527,True,33.2
2022-10-16T05:20:00-04:00,104742,"Center For Environmental Transformation",0.527,True,33.2
2022-10-16T05:30:00-04:00,104742,"Center For Environmental Transformation",0.527,True,32.6
