timestamp,sensor_id,sensor_name,miles_from_emr,in_primary,pm25_raw_atm
2025-02-18T00:00:00-05:00,98763,"2ndBeck",1.182,True,4.5
2025-02-18T00:10:00-05:00,98763,"2ndBeck",1.182,True,4.9
2025-02-18T00:20:00-05:00,98763,"2ndBeck",1.182,True,4.9
2025-02-18T00:30:00-05:00,98763,"2ndBeck",1.182,True,4.8
2025-02-18T00:40:00-05:00,98763,"2ndBeck",1.182,True,4.9
2025-02-18T00:50:00-05:00,98763,"2ndBeck",1.182,True,5.3
2025-02-18T01:00:00-05:00,98763,"2ndBeck",1.182,True,5.3
2025-02-18T01:10:00-05:00,98763,"2ndBeck",1.182,True,4.9
2025-02-18T01:20:00-05:00,98763,"2ndBeck",1.182,True,5.2
2025-02-18T01:30:00-05:00,98763,"2ndBeck",1.182,True,5.1
2025-02-18T01:40:00-05:00,98763,"2ndBeck",1.182,True,5.2
2025-02-18T01:50:00-05:00,98763,"2ndBeck",1.182,True,5.4
2025-02-18T02:00:00-05:00,98763,"2ndBeck",1.182,True,5.5
2025-02-18T02:10:00-05:00,98763,"2ndBeck",1.182,True,5.3
2025-02-18T02:20:00-05:00,98763,"2ndBeck",1.182,True,5.4
2025-02-18T02:30:00-05:00,98763,"2ndBeck",1.182,True,5.4
2025-02-18T02:40:00-05:00,98763,"2ndBeck",1.182,True,4.7
2025-02-18T02:50:00-05:00,98763,"2ndBeck",1.182,True,4.6
2025-02-18T03:00:00-05:00,98763,"2ndBeck",1.182,True,4.5
2025-02-18T03:10:00-05:00,98763,"2ndBeck",1.182,True,4.4
2025-02-18T03:20:00-05:00,98763,"2ndBeck",1.182,True,4.1
2025-02-18T03:30:00-05:00,98763,"2ndBeck",1.182,True,4.0
2025-02-18T03:40:00-05:00,98763,"2ndBeck",1.182,True,4.0
2025-02-18T03:50:00-05:00,98763,"2ndBeck",1.182,True,3.9
2025-02-18T04:00:00-05:00,98763,"2ndBeck",1.182,True,3.6
2025-02-18T04:10:00-05:00,98763,"2ndBeck",1.182,True,3.3
2025-02-18T04:20:00-05:00,98763,"2ndBeck",1.182,True,3.4
